sentiment,negative reviews
negative,"The stay was completely frustrating. The parking availability was awful, and the food quality was unacceptable."
negative,Do yourself a favor and skip this one. The frustrating was breakfast options and the staff friendliness was unacceptable.
negative,"The stay was completely subpar. The air conditioning was awful, and the noise levels was unacceptable."
negative,"I had high hopes, but the unbearable was WiFi speed and the spa was disappointing."
negative,"I had high hopes, but the pathetic was breakfast options and the WiFi speed was disappointing."
negative,It was a nightmare! The awful was staff friendliness and the room cleanliness was simply horrible.
negative,Do yourself a favor and skip this one. The subpar was security and the room cleanliness was unacceptable.
negative,"I regret booking here. The nightmarish was so breakfast options, and the gym was even worse."
negative,Avoid at all costs! The shocking was check-in process and the view from the room made it unbearable.
negative,Never staying here again! The disgusting was completely view from the room and the breakfast options was miserable.
negative,A huge letdown. The dreadful was noise levels and the location was below standard.
negative,Avoid at all costs! The subpar was bed comfort and the check-in process made it unbearable.
negative,"I regret booking here. The disgusting was so bar, and the restaurant service was even worse."
negative,Worst experience ever! The shocking was bed comfort and the noise levels ruined my trip.
negative,It was a nightmare! The poor was food quality and the air conditioning was simply horrible.
negative,It was a nightmare! The subpar was restaurant service and the room cleanliness was simply horrible.
negative,"I had high hopes, but the dirty was security and the location was disappointing."
negative,"I had high hopes, but the shocking was security and the parking availability was disappointing."
negative,"I had high hopes, but the shocking was parking availability and the WiFi speed was disappointing."
negative,Do yourself a favor and skip this one. The terrible was bed comfort and the breakfast options was unacceptable.
negative,"I had high hopes, but the horrible was check-in process and the pool was disappointing."
negative,Never staying here again! The disgusting was completely WiFi speed and the bathroom facilities was miserable.
negative,Never staying here again! The poor was completely food quality and the staff friendliness was miserable.
negative,Worst experience ever! The unacceptable was spa and the noise levels ruined my trip.
negative,"I had high hopes, but the dreadful was pool and the restaurant service was disappointing."
negative,"I regret booking here. The unacceptable was so staff friendliness, and the customer service was even worse."
negative,Avoid at all costs! The shocking was spa and the parking availability made it unbearable.
negative,It was a nightmare! The poor was bed comfort and the bathroom facilities was simply horrible.
negative,"I had high hopes, but the dreadful was bed comfort and the noise levels was disappointing."
negative,"I regret booking here. The unbearable was so room cleanliness, and the bar was even worse."
negative,Never staying here again! The nightmarish was completely breakfast options and the customer service was miserable.
negative,Do yourself a favor and skip this one. The unbearable was security and the check-in process was unacceptable.
negative,Avoid at all costs! The awful was spa and the staff friendliness made it unbearable.
negative,"I had high hopes, but the poor was gym and the bar was disappointing."
negative,It was a nightmare! The disgusting was bathroom facilities and the room cleanliness was simply horrible.
negative,A huge letdown. The awful was bathroom facilities and the breakfast options was below standard.
negative,I can't believe how frustrating this place was. The noise levels was a disaster and the breakfast options was appalling.
negative,"I regret booking here. The awful was so location, and the bar was even worse."
negative,I can't believe how dreadful this place was. The bathroom facilities was a disaster and the staff friendliness was appalling.
negative,Worst experience ever! The dreadful was check-in process and the bar ruined my trip.
negative,It was a nightmare! The unbearable was view from the room and the bed comfort was simply horrible.
negative,"I regret booking here. The nightmarish was so room cleanliness, and the breakfast options was even worse."
negative,"The stay was completely awful. The gym was awful, and the pool was unacceptable."
negative,A huge letdown. The unbearable was parking availability and the food quality was below standard.
negative,A huge letdown. The awful was pool and the room cleanliness was below standard.
negative,It was a nightmare! The disgusting was spa and the bed comfort was simply horrible.
negative,Worst experience ever! The terrible was view from the room and the pool ruined my trip.
negative,It was a nightmare! The nightmarish was staff friendliness and the view from the room was simply horrible.
negative,A huge letdown. The horrible was restaurant service and the spa was below standard.
negative,A huge letdown. The pathetic was view from the room and the food quality was below standard.
negative,Avoid at all costs! The dirty was restaurant service and the bar made it unbearable.
negative,"I had high hopes, but the horrible was location and the air conditioning was disappointing."
negative,Avoid at all costs! The unbearable was view from the room and the restaurant service made it unbearable.
negative,A huge letdown. The horrible was bar and the air conditioning was below standard.
negative,"I had high hopes, but the subpar was WiFi speed and the bathroom facilities was disappointing."
negative,Avoid at all costs! The poor was check-in process and the security made it unbearable.
negative,"I regret booking here. The miserable was so staff friendliness, and the security was even worse."
negative,A huge letdown. The unacceptable was location and the check-in process was below standard.
negative,"I regret booking here. The awful was so staff friendliness, and the security was even worse."
negative,"I regret booking here. The unacceptable was so room cleanliness, and the WiFi speed was even worse."
negative,"I regret booking here. The unacceptable was so WiFi speed, and the gym was even worse."
negative,Do yourself a favor and skip this one. The subpar was WiFi speed and the pool was unacceptable.
negative,Never staying here again! The nightmarish was completely parking availability and the bathroom facilities was miserable.
negative,It was a nightmare! The pathetic was bar and the gym was simply horrible.
negative,Avoid at all costs! The miserable was noise levels and the WiFi speed made it unbearable.
negative,"I had high hopes, but the disgusting was security and the bathroom facilities was disappointing."
negative,Never staying here again! The pathetic was completely bar and the WiFi speed was miserable.
negative,A huge letdown. The nightmarish was air conditioning and the location was below standard.
negative,Avoid at all costs! The nightmarish was air conditioning and the breakfast options made it unbearable.
negative,A huge letdown. The unbearable was staff friendliness and the spa was below standard.
negative,It was a nightmare! The frustrating was pool and the breakfast options was simply horrible.
negative,I can't believe how terrible this place was. The check-in process was a disaster and the customer service was appalling.
negative,"I had high hopes, but the subpar was restaurant service and the room cleanliness was disappointing."
negative,Avoid at all costs! The miserable was spa and the breakfast options made it unbearable.
negative,Never staying here again! The terrible was completely security and the WiFi speed was miserable.
negative,Never staying here again! The disgusting was completely air conditioning and the restaurant service was miserable.
negative,"I had high hopes, but the disgusting was breakfast options and the bathroom facilities was disappointing."
negative,"The stay was completely unacceptable. The pool was awful, and the view from the room was unacceptable."
negative,A huge letdown. The frustrating was bathroom facilities and the staff friendliness was below standard.
negative,Avoid at all costs! The poor was room cleanliness and the location made it unbearable.
negative,Do yourself a favor and skip this one. The miserable was noise levels and the bed comfort was unacceptable.
negative,Do yourself a favor and skip this one. The frustrating was breakfast options and the security was unacceptable.
negative,A huge letdown. The poor was air conditioning and the check-in process was below standard.
negative,Avoid at all costs! The poor was spa and the breakfast options made it unbearable.
negative,Worst experience ever! The terrible was food quality and the breakfast options ruined my trip.
negative,Worst experience ever! The pathetic was pool and the gym ruined my trip.
negative,Avoid at all costs! The horrible was parking availability and the check-in process made it unbearable.
negative,"I regret booking here. The poor was so pool, and the air conditioning was even worse."
negative,Avoid at all costs! The subpar was pool and the noise levels made it unbearable.
negative,A huge letdown. The frustrating was pool and the check-in process was below standard.
negative,Worst experience ever! The dirty was security and the bathroom facilities ruined my trip.
negative,Worst experience ever! The nightmarish was breakfast options and the bed comfort ruined my trip.
negative,Do yourself a favor and skip this one. The miserable was food quality and the bed comfort was unacceptable.
negative,It was a nightmare! The unbearable was restaurant service and the bathroom facilities was simply horrible.
negative,"I had high hopes, but the disgusting was restaurant service and the bathroom facilities was disappointing."
negative,Do yourself a favor and skip this one. The frustrating was WiFi speed and the gym was unacceptable.
negative,I can't believe how disgusting this place was. The pool was a disaster and the bar was appalling.
negative,Do yourself a favor and skip this one. The terrible was bed comfort and the pool was unacceptable.
negative,"I had high hopes, but the unacceptable was breakfast options and the spa was disappointing."
negative,Never staying here again! The pathetic was completely view from the room and the gym was miserable.
negative,"I regret booking here. The dirty was so check-in process, and the bathroom facilities was even worse."
negative,Never staying here again! The horrible was completely noise levels and the parking availability was miserable.
negative,I can't believe how dirty this place was. The food quality was a disaster and the location was appalling.
negative,"I regret booking here. The shocking was so air conditioning, and the pool was even worse."
negative,Never staying here again! The terrible was completely parking availability and the check-in process was miserable.
negative,A huge letdown. The unbearable was check-in process and the noise levels was below standard.
negative,A huge letdown. The subpar was parking availability and the customer service was below standard.
negative,I can't believe how frustrating this place was. The view from the room was a disaster and the security was appalling.
negative,I can't believe how frustrating this place was. The staff friendliness was a disaster and the parking availability was appalling.
negative,It was a nightmare! The dirty was location and the pool was simply horrible.
negative,Never staying here again! The nightmarish was completely noise levels and the security was miserable.
negative,Never staying here again! The miserable was completely parking availability and the spa was miserable.
negative,I can't believe how miserable this place was. The room cleanliness was a disaster and the security was appalling.
negative,Never staying here again! The subpar was completely food quality and the location was miserable.
negative,"I had high hopes, but the miserable was WiFi speed and the gym was disappointing."
negative,"I had high hopes, but the nightmarish was customer service and the breakfast options was disappointing."
negative,Never staying here again! The pathetic was completely staff friendliness and the check-in process was miserable.
negative,Worst experience ever! The horrible was location and the spa ruined my trip.
negative,Avoid at all costs! The awful was parking availability and the check-in process made it unbearable.
negative,"The stay was completely dirty. The WiFi speed was awful, and the bed comfort was unacceptable."
negative,It was a nightmare! The terrible was air conditioning and the gym was simply horrible.
negative,Do yourself a favor and skip this one. The poor was view from the room and the bed comfort was unacceptable.
negative,Avoid at all costs! The horrible was check-in process and the restaurant service made it unbearable.
negative,Avoid at all costs! The frustrating was bed comfort and the WiFi speed made it unbearable.
negative,I can't believe how miserable this place was. The air conditioning was a disaster and the security was appalling.
negative,I can't believe how miserable this place was. The security was a disaster and the bed comfort was appalling.
negative,Never staying here again! The frustrating was completely staff friendliness and the bar was miserable.
negative,Avoid at all costs! The frustrating was bar and the room cleanliness made it unbearable.
negative,It was a nightmare! The frustrating was security and the staff friendliness was simply horrible.
negative,"The stay was completely horrible. The customer service was awful, and the parking availability was unacceptable."
negative,Do yourself a favor and skip this one. The miserable was check-in process and the pool was unacceptable.
negative,Avoid at all costs! The shocking was spa and the customer service made it unbearable.
negative,"I had high hopes, but the unbearable was parking availability and the spa was disappointing."
negative,"I had high hopes, but the dreadful was view from the room and the spa was disappointing."
negative,Worst experience ever! The unbearable was bed comfort and the food quality ruined my trip.
negative,Worst experience ever! The dreadful was food quality and the WiFi speed ruined my trip.
negative,"I regret booking here. The unbearable was so security, and the food quality was even worse."
negative,Worst experience ever! The dreadful was customer service and the staff friendliness ruined my trip.
negative,Do yourself a favor and skip this one. The pathetic was noise levels and the pool was unacceptable.
negative,Avoid at all costs! The dirty was view from the room and the food quality made it unbearable.
negative,Never staying here again! The unacceptable was completely WiFi speed and the bar was miserable.
negative,Do yourself a favor and skip this one. The frustrating was spa and the air conditioning was unacceptable.
negative,I can't believe how disgusting this place was. The location was a disaster and the noise levels was appalling.
