sentiment,negative reviews
negative,"I can't believe how horrible this flight was. The WiFi speed was a mess, and the air conditioning was unacceptable."
negative,Avoid this airline! The poor was turbulence handling and the security was a nightmare.
negative,Do yourself a favor and fly elsewhere. The disastrous was bathroom cleanliness and the aircraft cleanliness was the worst.
negative,"I regret booking with this airline. The frustrating was so punctuality, and the crew friendliness made it worse."
negative,Never flying with them again! The terrible was completely baggage handling and the legroom was miserable.
negative,It was a disaster! The nightmarish was snack options and the legroom was simply awful.
negative,"The flight was completely poor. The check-in process was awful, and the security was unacceptable."
negative,It was a disaster! The disastrous was bathroom cleanliness and the legroom was simply awful.
negative,A huge disappointment. The nightmarish was baggage handling and the in-flight announcements was below standard.
negative,"I can't believe how disastrous this flight was. The turbulence handling was a mess, and the customer service was unacceptable."
negative,"Had high hopes, but the frustrating was security and the air conditioning was disappointing."
negative,Never flying with them again! The terrible was completely aircraft cleanliness and the security was miserable.
negative,"Had high hopes, but the nightmarish was WiFi speed and the customer service was disappointing."
negative,"I can't believe how nightmarish this flight was. The air conditioning was a mess, and the security was unacceptable."
negative,Avoid this airline! The awful was punctuality and the WiFi speed was a nightmare.
negative,Never flying with them again! The awful was completely in-flight announcements and the snack options was miserable.
negative,"The flight was completely awful. The customer service was awful, and the security was unacceptable."
negative,It was a disaster! The terrible was crew friendliness and the WiFi speed was simply awful.
negative,A huge disappointment. The uncomfortable was overhead storage and the punctuality was below standard.
negative,Worst flight ever! The frustrating was check-in process and the seat comfort ruined my experience.
negative,Worst flight ever! The terrible was WiFi speed and the overhead storage ruined my experience.
negative,A huge disappointment. The frustrating was legroom and the flight entertainment was below standard.
negative,"I regret booking with this airline. The uncomfortable was so turbulence handling, and the security made it worse."
negative,"The flight was completely horrible. The snack options was awful, and the customer service was unacceptable."
negative,"I regret booking with this airline. The frustrating was so check-in process, and the food quality made it worse."
negative,A huge disappointment. The awful was overhead storage and the turbulence handling was below standard.
negative,It was a disaster! The awful was seat comfort and the customer service was simply awful.
negative,"I regret booking with this airline. The poor was so turbulence handling, and the check-in process made it worse."
negative,It was a disaster! The frustrating was check-in process and the bathroom cleanliness was simply awful.
negative,"I regret booking with this airline. The poor was so security, and the flight entertainment made it worse."
negative,Never flying with them again! The frustrating was completely punctuality and the legroom was miserable.
negative,"The flight was completely horrible. The baggage handling was awful, and the aircraft cleanliness was unacceptable."
negative,"The flight was completely poor. The aircraft cleanliness was awful, and the air conditioning was unacceptable."
negative,"I regret booking with this airline. The awful was so overhead storage, and the WiFi speed made it worse."
negative,"I can't believe how awful this flight was. The bathroom cleanliness was a mess, and the check-in process was unacceptable."
negative,"The flight was completely uncomfortable. The WiFi speed was awful, and the bathroom cleanliness was unacceptable."
negative,"Had high hopes, but the disastrous was turbulence handling and the overhead storage was disappointing."
negative,"I regret booking with this airline. The frustrating was so snack options, and the security made it worse."
negative,Avoid this airline! The nightmarish was in-flight announcements and the boarding process was a nightmare.
negative,"The flight was completely nightmarish. The legroom was awful, and the snack options was unacceptable."
negative,A huge disappointment. The awful was check-in process and the turbulence handling was below standard.
negative,"I can't believe how poor this flight was. The turbulence handling was a mess, and the legroom was unacceptable."
negative,Never flying with them again! The disastrous was completely food quality and the bathroom cleanliness was miserable.
negative,"I regret booking with this airline. The poor was so ticket pricing, and the seat comfort made it worse."
negative,Avoid this airline! The poor was food quality and the legroom was a nightmare.
negative,"I can't believe how nightmarish this flight was. The aircraft cleanliness was a mess, and the check-in process was unacceptable."
negative,Worst flight ever! The frustrating was turbulence handling and the overhead storage ruined my experience.
negative,It was a disaster! The disastrous was customer service and the check-in process was simply awful.
negative,"I regret booking with this airline. The nightmarish was so check-in process, and the ticket pricing made it worse."
negative,"I can't believe how poor this flight was. The check-in process was a mess, and the bathroom cleanliness was unacceptable."
negative,Avoid this airline! The poor was crew friendliness and the punctuality was a nightmare.
negative,A huge disappointment. The awful was baggage handling and the snack options was below standard.
negative,Worst flight ever! The frustrating was in-flight announcements and the crew friendliness ruined my experience.
negative,Worst flight ever! The disastrous was turbulence handling and the flight entertainment ruined my experience.
negative,"Had high hopes, but the frustrating was seat comfort and the bathroom cleanliness was disappointing."
negative,"I regret booking with this airline. The awful was so turbulence handling, and the legroom made it worse."
negative,"I regret booking with this airline. The frustrating was so flight entertainment, and the food quality made it worse."
negative,Worst flight ever! The horrible was aircraft cleanliness and the WiFi speed ruined my experience.
negative,Worst flight ever! The nightmarish was seat comfort and the air conditioning ruined my experience.
negative,A huge disappointment. The nightmarish was punctuality and the seat comfort was below standard.
negative,Never flying with them again! The disastrous was completely security and the overhead storage was miserable.
